"class","aerial_e10_ap50","aerial_balanced_e12_ap50","absolute_delta"
"pedestrian","0.15795342115999","0.144358705814035","-0.0135947153459551"
"people","0.135425788695023","0.123757391871872","-0.0116683968231509"
"bicycle","0.0416605164547008","0.0343445782004759","-0.0073159382542249"
"car","0.567527233421271","0.556278592821704","-0.0112486405995668"
"van","0.256375895100677","0.235932052916206","-0.0204438421844708"
"truck","0.232441133701581","0.19294540038958","-0.0394957333120013"
"tricycle","0.136764010342766","0.158421151357251","0.0216571410144842"
"awning-tricycle","0.0726040636537582","0.0751133219027208","0.0025092582489626"
"bus","0.289039549402305","0.277848650101164","-0.011190899301141"
"motor","0.186003094061745","0.183285777451921","-0.00271731660982416"
